time, bid_price, ask_price, total_volume, open_price, quote_time
2022-12-28 20:43:48.078000,,,16410762,,
2022-12-28 20:43:48.581000,,,16410780,,56628
2022-12-28 20:43:49.116000,,,16410881,,
2022-12-28 20:43:49.646000,115.96,,16411382,,56629
2022-12-28 20:43:50.192000,,,16411392,,
2022-12-28 20:43:50.704000,,115.97,16411496,,56630
2022-12-28 20:43:51.245000,115.95,,16411858,,56631
2022-12-28 20:43:51.771000,115.94,115.96,16412039,,
2022-12-28 20:43:52.298000,115.96,115.97,16412397,,56632
2022-12-28 20:43:52.831000,115.95,115.96,16412597,,
2022-12-28 20:43:53.338000,115.94,115.95,16412697,,
2022-12-28 20:43:53.855000,115.93,,16413182,,56633
2022-12-28 20:43:54.367000,,,16413295,,56634
2022-12-28 20:43:54.896000,115.94,,16414840,,
2022-12-28 20:43:55.431000,115.95,115.97,16414955,,56635
2022-12-28 20:43:55.965000,115.97,115.98,16415637,,
2022-12-28 20:43:56.491000,,,16415689,,56636
2022-12-28 20:43:57.023000,115.96,115.97,16415889,,
2022-12-28 20:43:57.552000,,,,,56637
2022-12-28 20:43:58.095000,,,16415892,,
2022-12-28 20:43:58.610000,115.95,115.96,16416149,,56638
2022-12-28 20:43:59.642000,,,16416375,,56639
2022-12-28 20:44:00.192000,115.96,115.97,16416986,,56640
2022-12-28 20:44:00.709000,,,16417119,,
2022-12-28 20:44:01.245000,,,,,56641
2022-12-28 20:44:02.278000,,,,,56642
2022-12-28 20:44:03.318000,,,16417369,,
2022-12-28 20:44:03.860000,,,16417572,,56643
2022-12-28 20:44:04.365000,115.95,115.96,16418072,,56644
2022-12-28 20:44:05.418000,115.94,,16418202,,56645
2022-12-28 20:44:05.962000,,115.95,,,
2022-12-28 20:44:06.480000,,115.96,16418207,,56646
2022-12-28 20:44:06.982000,,,16418357,,
2022-12-28 20:44:07.504000,,,,,56647
2022-12-28 20:44:08.038000,,,16418392,,
2022-12-28 20:44:08.545000,115.96,115.97,16419503,,56648
2022-12-28 20:44:09.083000,115.95,115.96,16419705,,
2022-12-28 20:44:10.143000,,,16422750,,56650
2022-12-28 20:44:11.195000,,,,,56651
2022-12-28 20:44:11.706000,,,16422850,,
2022-12-28 20:44:12.240000,115.94,,16423032,,
2022-12-28 20:44:12.768000,115.95,,16423033,,56652
2022-12-28 20:44:13.277000,,,16423125,,56653
2022-12-28 20:44:13.813000,,,16423130,,
2022-12-28 20:44:14.346000,115.94,,16423365,,56654
2022-12-28 20:44:14.853000,,,16423876,,
2022-12-28 20:44:15.358000,115.96,115.97,16424829,,56655
2022-12-28 20:44:15.872000,,,16424861,,
2022-12-28 20:44:16.374000,115.95,115.96,16425696,,56656
2022-12-28 20:44:16.896000,115.96,115.97,16426241,,
2022-12-28 20:44:17.410000,115.94,115.96,16426326,,56657
2022-12-28 20:44:17.916000,,,16426448,,
2022-12-28 20:44:18.444000,,,16426671,,56658
2022-12-28 20:44:18.957000,,,16426705,,
2022-12-28 20:44:19.460000,115.95,115.97,16427151,,56659
2022-12-28 20:44:19.967000,,,16427165,,
2022-12-28 20:44:20.517000,,,,,56660
2022-12-28 20:44:21.042000,115.97,115.98,16428647,,
2022-12-28 20:44:21.584000,115.94,115.96,16432062,,56661
2022-12-28 20:44:22.103000,115.96,115.97,16432274,,56662
2022-12-28 20:44:22.627000,115.94,115.95,16432455,,
2022-12-28 20:44:23.171000,,115.97,,,
2022-12-28 20:44:23.691000,,115.96,,,56663
2022-12-28 20:44:24.696000,,,16432756,,56664
2022-12-28 20:44:25.232000,115.92,115.93,16433565,,56665
2022-12-28 20:44:25.760000,115.9,115.92,16433669,,
2022-12-28 20:44:26.264000,115.91,,16433853,,
