time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-30 17:35:46.337000,118.96,118.97,8774556,,45346
2022-12-30 17:35:46.854000,118.94,,8774639,,
2022-12-30 17:35:47.400000,,,8774686,,
2022-12-30 17:35:48.442000,,,,,45347
2022-12-30 17:35:49.514000,118.95,,8774822,,45349
2022-12-30 17:35:50.535000,,,8774823,,
2022-12-30 17:35:51.086000,118.94,,8774923,,45351
2022-12-30 17:35:51.657000,,,8774924,,
2022-12-30 17:35:52.160000,118.95,,8774925,,
2022-12-30 17:35:53.225000,,,8774956,,
2022-12-30 17:35:53.759000,,,8775525,,45353
2022-12-30 17:35:54.291000,118.93,118.94,8776668,,45354
2022-12-30 17:35:54.819000,,118.95,8776672,,
2022-12-30 17:35:55.401000,,,8776713,,
2022-12-30 17:35:55.943000,,,,,45355
2022-12-30 17:35:56.484000,,,,,45356
2022-12-30 17:35:57.504000,118.94,118.96,8776752,,45357
2022-12-30 17:35:58.016000,118.93,,8776782,,
2022-12-30 17:35:58.534000,,,8776785,,45358
2022-12-30 17:35:59.058000,,118.95,8777285,,
2022-12-30 17:35:59.600000,,,,,45359
2022-12-30 17:36:00.108000,,,,,45360
2022-12-30 17:36:00.640000,,,8777288,,
2022-12-30 17:36:01.166000,,,8777325,,45361
2022-12-30 17:36:02.197000,118.95,118.97,8777602,,
2022-12-30 17:36:02.710000,118.94,,8777622,,45362
2022-12-30 17:36:03.222000,118.95,,8778076,,
2022-12-30 17:36:03.724000,,,,,45363
2022-12-30 17:36:04.754000,118.96,,8778538,,45364
2022-12-30 17:36:05.796000,,,8778652,,
2022-12-30 17:36:06.318000,,,8779169,,
2022-12-30 17:36:07.870000,,,8779170,,
2022-12-30 17:36:08.383000,,118.98,8779808,,45367
2022-12-30 17:36:08.909000,,,8779848,,45368
2022-12-30 17:36:09.438000,,118.97,,,45369
2022-12-30 17:36:10.448000,,118.98,8779887,,45370
2022-12-30 17:36:10.987000,,,8779888,,
2022-12-30 17:36:11.537000,,,8779889,,
2022-12-30 17:36:12.077000,118.98,119,8779995,,45371
2022-12-30 17:36:12.605000,118.99,,8780081,,45372
2022-12-30 17:36:13.112000,,,8780096,,
2022-12-30 17:36:14.152000,,,8780146,,45373
2022-12-30 17:36:14.685000,,,8780268,,
2022-12-30 17:36:15.698000,119,119.02,8781202,,45375
2022-12-30 17:36:16.206000,,119.01,,,
2022-12-30 17:36:16.711000,118.99,119,8781445,,45376
2022-12-30 17:36:17.230000,,,8781454,,
2022-12-30 17:36:18.275000,,119.01,8781494,,45378
2022-12-30 17:36:18.784000,,,8781496,,
2022-12-30 17:36:19.303000,,,8781661,,
2022-12-30 17:36:19.852000,,119,8781697,,45379
2022-12-30 17:36:20.961000,,119.01,8781722,,45380
2022-12-30 17:36:21.482000,,119,,,45381
2022-12-30 17:36:21.990000,,119.01,8782446,,
2022-12-30 17:36:22.506000,,,8782469,,45382
2022-12-30 17:36:23.533000,,,8782472,,45383
2022-12-30 17:36:24.055000,,,8782603,,
